name,position,team,xP,minutes,starts,total_points,value,gw
Kamaldeen Sulemana,MID,Southampton,0.0,0,0,0,50,1
Karl Hein,GK,Arsenal,0.0,0,0,0,40,1
Kasey McAteer,MID,Leicester,1.1,4,0,1,50,1
Keane Lewis-Potter,MID,Brentford,1.6,16,0,1,50,1
Kenny Tete,DEF,Fulham,1.9,90,1,2,45,1
Kepa Arrizabalaga,GK,Chelsea,1.2,0,0,0,45,1
Kevin De Bruyne,MID,Man City,4.2,90,1,3,95,1
Kevin Mbabu,DEF,Fulham,1.0,0,0,0,40,1
Kevin Schade,MID,Brentford,2.0,73,1,2,55,1
Ki-Jana Hoever,DEF,Wolves,0.0,0,0,0,40,1
Kieran Tierney,DEF,Arsenal,0.0,0,0,0,45,1
Kieran Trippier,DEF,Newcastle,4.2,0,0,0,60,1
Kiernan Dewsbury-Hall,MID,Chelsea,1.2,24,0,1,60,1
Kim Ji-soo,DEF,Brentford,1.0,0,0,0,40,1
Kobbie Mainoo,MID,Man Utd,2.0,83,1,3,55,1
Konstantinos Mavropanos,DEF,West Ham,1.9,90,1,1,45,1
Konstantinos Tsimikas,DEF,Liverpool,3.4,11,0,1,50,1
Kortney Hause,DEF,Aston Villa,1.0,0,0,0,40,1
Kosta Nedeljković,DEF,Aston Villa,1.0,8,0,1,40,1
Kristoffer Ajer,DEF,Brentford,1.9,90,1,2,45,1
Kurt Zouma,DEF,West Ham,1.9,0,0,0,45,1
Kyle Walker,DEF,Man City,3.8,0,0,0,55,1
Kyle Walker-Peters,DEF,Southampton,0.9,80,1,2,45,1
Lamare Bogarde,DEF,Aston Villa,1.0,0,0,0,40,1
Leander Dendoncker,MID,Aston Villa,1.0,0,0,0,45,1
Leandro Trossard,MID,Arsenal,3.5,10,0,1,70,1
Leif Davis,DEF,Ipswich,0.9,90,1,1,45,1
Leny Yoro,DEF,Man Utd,0.0,0,0,0,45,1
Leon Bailey,MID,Aston Villa,2.3,73,1,1,65,1
Leon Chiwome,FWD,Wolves,0.0,0,0,0,45,1
Lesley Ugochukwu,MID,Chelsea,0.0,0,0,0,45,1
Levi Colwill,DEF,Chelsea,0.9,90,1,1,45,1
Lewis Cook,MID,Bournemouth,1.6,83,1,1,50,1
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,50,1
Lewis Dunk,DEF,Brighton,1.9,75,1,6,45,1
Lewis Hall,DEF,Newcastle,2.9,69,1,5,45,1
Lewis Miley,MID,Newcastle,0.0,0,0,0,50,1
Lewis O'Brien,MID,Nott'm Forest,0.0,0,0,0,50,1
Liam Delap,FWD,Ipswich,0.7,73,1,2,55,1
Lino da Cruz Sousa,DEF,Aston Villa,0.0,0,0,0,40,1
Lisandro Martínez,DEF,Man Utd,1.9,90,1,7,45,1
Lloyd Kelly,DEF,Newcastle,2.9,20,0,1,45,1
Lucas Bergström,GK,Chelsea,0.0,0,0,0,40,1
Lucas Bergvall,MID,Spurs,1.5,12,0,1,45,1
Lucas Digne,DEF,Aston Villa,1.9,73,1,2,45,1
Lucas Tolentino Coelho de Lima,MID,West Ham,2.2,73,1,6,60,1
Luis Díaz,MID,Liverpool,3.6,90,1,3,75,1
Luis Guilherme Lira dos Santos,MID,West Ham,1.6,0,0,0,50,1
Luis Sinisterra,MID,Bournemouth,1.6,63,1,2,50,1
Luke Cundle,MID,Wolves,0.0,0,0,0,45,1
Luke Harris,MID,Fulham,0.0,0,0,0,45,1
Luke Shaw,DEF,Man Utd,0.0,0,0,0,50,1
Luke Thomas,DEF,Leicester,0.5,0,0,0,40,1
Luke Woolfenden,DEF,Ipswich,0.0,90,1,0,40,1
Mads Hermansen,GK,Leicester,1.7,90,1,3,45,1
Mads Roerslev Rasmussen,DEF,Brentford,1.9,90,1,2,45,1
Mahmoud Dahoud,MID,Brighton,1.6,0,0,0,50,1
Malang Sarr,DEF,Chelsea,0.0,0,0,0,45,1
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,45,1
Malo Gusto,DEF,Chelsea,1.4,90,1,1,50,1
Manor Solomon,MID,Spurs,2.5,0,0,0,55,1
Manuel Akanji,DEF,Man City,3.8,90,1,6,55,1
Marc Cucurella Saseta,DEF,Chelsea,1.4,79,1,2,50,1
Marc Guiu Paz,FWD,Chelsea,0.4,24,0,1,50,1
Marc Guéhi,DEF,Crystal Palace,1.9,90,1,0,45,1
Marcos Senesi,DEF,Bournemouth,2.4,0,0,0,50,1
Marcus Bettinelli,GK,Chelsea,0.0,0,0,0,40,1
Marcus Myers-Harness,MID,Ipswich,0.6,25,0,1,50,1
Marcus Rashford,MID,Man Utd,2.5,90,1,3,70,1
Marcus Tavernier,MID,Bournemouth,2.0,90,1,2,55,1
Mario Lemina,MID,Wolves,0.6,90,1,2,50,1
Mark Flekken,GK,Brentford,2.2,90,1,4,45,1
Mark O’Mahony,FWD,Brighton,1.0,0,0,0,45,1
Mark Travers,GK,Bournemouth,2.2,0,0,0,45,1
Martial Godo,MID,Fulham,1.0,0,0,0,45,1
Martin Dúbravka,GK,Newcastle,3.2,0,0,0,45,1
Martin Ødegaard,MID,Arsenal,3.9,90,1,3,85,1
Mason Holgate,DEF,Everton,1.0,5,0,1,40,1
Mason Mount,MID,Man Utd,2.3,60,1,2,65,1
Massimo Luongo,MID,Ipswich,0.0,64,1,2,45,1
Mateo Kovačić,MID,Man City,3.0,90,1,11,55,1
Mateusz Lis,GK,Southampton,0.0,0,0,0,40,1
