name,position,team,xP,minutes,starts,total_points,value,gw
Josh Bowler,MID,Nott'm Forest,1.0,0,0,0,45,1
Sugawara Yukinari,DEF,Southampton,0.9,45,1,1,45,1
Aaron Wan-Bissaka,DEF,West Ham,1.9,0,0,0,45,1
Bobby De Cordova-Reid,MID,Leicester,1.5,85,1,2,55,1
Nathan Broadhead,MID,Ipswich,0.0,0,0,0,50,1
Matheus Luiz Nunes,MID,Man City,2.6,0,0,0,50,1
Jake O'Brien,DEF,Everton,2.4,0,0,0,50,1
Cameron Peupion,MID,Brighton,1.0,0,0,0,45,1
Kosta Nedeljković,DEF,Aston Villa,1.0,8,0,1,40,1
Jay Stansfield,FWD,Fulham,1.4,1,0,1,50,1
Nikola Milenković,DEF,Nott'm Forest,1.9,0,0,0,45,1
Sepp van den Berg,DEF,Liverpool,2.0,0,0,0,40,1
Kevin Mbabu,DEF,Fulham,1.0,0,0,0,40,1
Malang Sarr,DEF,Chelsea,0.0,0,0,0,45,1
Jarrad Branthwaite,DEF,Everton,0.0,0,0,0,50,1
Mats Wieffer,MID,Brighton,1.6,90,1,6,50,1
Kyle Walker,DEF,Man City,3.8,0,0,0,55,1
Shea Charles,MID,Southampton,0.0,0,0,0,45,1
Samuel Edozie,MID,Southampton,0.6,45,0,0,50,1
Robert Sánchez,GK,Chelsea,1.2,90,1,2,45,1
Sergio Reguilón,DEF,Spurs,2.4,0,0,0,45,1
Conor Townsend,DEF,Ipswich,0.0,0,0,0,40,1
Ricardo Barbosa Pereira,DEF,Leicester,1.4,0,0,0,45,1
Massimo Luongo,MID,Ipswich,0.0,64,1,2,45,1
Harvey Elliott,MID,Liverpool,3.0,0,0,0,55,1
Garang Kuol,MID,Newcastle,2.0,0,0,0,45,1
Rúben Gato Alves Dias,DEF,Man City,3.8,90,1,6,55,1
Romelu Lukaku Bolingoli,FWD,Chelsea,1.1,0,0,0,65,1
Ben Chilwell,DEF,Chelsea,1.4,0,0,0,50,1
George Hirst,FWD,Ipswich,0.0,0,0,0,55,1
Daniel Jebbison,FWD,Bournemouth,1.0,21,0,1,45,1
Tyrick Mitchell,DEF,Crystal Palace,2.4,90,1,1,50,1
Myles Peart-Harris,MID,Brentford,1.0,0,0,0,45,1
Mahmoud Dahoud,MID,Brighton,1.6,0,0,0,50,1
Jonathan Panzo,DEF,Nott'm Forest,0.0,0,0,0,40,1
Nico O'Reilly,MID,Man City,2.6,0,0,0,50,1
Aaron Ramsdale,GK,Arsenal,3.2,0,0,0,45,1
Moussa Diaby,MID,Aston Villa,0.0,0,0,0,65,1
Micky van de Ven,DEF,Spurs,2.4,90,1,2,45,1
Igor Thiago Nascimento Rodrigues,FWD,Brentford,0.0,0,0,0,60,1
Callum Hudson-Odoi,MID,Nott'm Forest,2.0,71,1,3,55,1
Armel Bella-Kotchap,DEF,Southampton,0.0,0,0,0,40,1
Rodrigo Martins Gomes,MID,Wolves,1.0,74,1,2,55,1
Lamare Bogarde,DEF,Aston Villa,1.0,0,0,0,40,1
Noussair Mazraoui,DEF,Man Utd,1.9,80,1,8,45,1
Cameron Archer,FWD,Southampton,0.4,19,0,1,50,1
Ezri Konsa Ngoyo,DEF,Aston Villa,1.9,90,1,2,45,1
Pedro Porro,DEF,Spurs,3.3,90,1,9,55,1
Alfie Devine,MID,Spurs,1.5,0,0,0,45,1
Elkan Baggott,DEF,Ipswich,0.0,0,0,0,40,1
Erling Haaland,FWD,Man City,5.0,90,1,7,150,1
Leif Davis,DEF,Ipswich,0.9,90,1,1,45,1
Virgil van Dijk,DEF,Liverpool,4.2,90,1,6,60,1
Konstantinos Mavropanos,DEF,West Ham,1.9,90,1,1,45,1
Matt Turner,GK,Nott'm Forest,1.0,0,0,0,40,1
Juan Larios López,DEF,Southampton,0.0,0,0,0,40,1
Harry Toffolo,DEF,Nott'm Forest,1.9,36,0,1,45,1
Toby Collyer,MID,Man Utd,1.0,0,0,0,45,1
Caleb Wiley,DEF,Chelsea,0.0,0,0,0,40,1
Ethan Pinnock,DEF,Brentford,1.9,90,1,0,45,1
William Saliba,DEF,Arsenal,4.2,90,1,6,60,1
Altay Bayindir,GK,Man Utd,2.2,0,0,0,45,1
Rodrigo Bentancur,MID,Spurs,2.1,77,1,1,50,1
Dominic Solanke-Mitchell,FWD,Spurs,2.9,90,1,2,75,1
Chris Richards,DEF,Crystal Palace,1.9,83,1,0,45,1
Rayan Aït-Nouri,DEF,Wolves,0.9,83,1,1,45,1
James Justin,DEF,Leicester,1.4,90,1,2,45,1
Joshua Zirkzee,FWD,Man Utd,2.2,29,0,8,70,1
Martin Ødegaard,MID,Arsenal,3.9,90,1,3,85,1
Cesare Casadei,MID,Chelsea,0.0,0,0,0,45,1
Jaden Philogene,MID,Aston Villa,2.0,16,0,0,55,1
Mario Lemina,MID,Wolves,0.6,90,1,2,50,1
Adam Wharton,MID,Crystal Palace,1.6,73,1,2,50,1
Luis Sinisterra,MID,Bournemouth,1.6,63,1,2,50,1
Michael Keane,DEF,Everton,1.0,90,1,1,40,1
Omar Richards,DEF,Nott'm Forest,1.9,0,0,0,45,1
Álex Moreno Lopera,DEF,Aston Villa,1.9,0,0,0,45,1
Stephy Mavididi,MID,Leicester,1.5,11,0,1,55,1
Anthony Gordon,MID,Newcastle,3.6,69,1,3,75,1
Diego Carlos Santos Silva,DEF,Aston Villa,1.9,0,0,0,45,1
Facundo Pellistri Rebollo,MID,Man Utd,1.6,0,0,0,50,1
Trent Alexander-Arnold,DEF,Liverpool,5.0,76,1,8,70,1
Josh King,MID,Fulham,1.0,0,0,0,45,1
Wanya Marçal-Madivádua,MID,Leicester,0.5,0,0,0,45,1
Jamal Lewis,DEF,Newcastle,2.0,0,0,0,40,1
Jørgen Strand Larsen,FWD,Wolves,0.7,83,1,2,55,1
Jack Harrison,MID,Everton,2.0,84,1,2,55,1
Riccardo Calafiori,DEF,Arsenal,4.2,0,0,0,60,1
Luke Cundle,MID,Wolves,0.0,0,0,0,45,1
Jan Bednarek,DEF,Southampton,0.0,80,1,2,40,1
André Onana,GK,Man Utd,3.1,90,1,6,50,1
Odsonne Edouard,FWD,Crystal Palace,1.7,45,0,1,55,1
Deivid Washington de Souza Eugênio,FWD,Chelsea,0.4,0,0,0,50,1
Lewis O'Brien,MID,Nott'm Forest,0.0,0,0,0,50,1
Bukayo Saka,MID,Arsenal,4.3,79,1,12,100,1
Alex Mighten,MID,Nott'm Forest,1.0,0,0,0,45,1
Djed Spence,DEF,Spurs,2.4,1,0,1,45,1
Hamza Choudhury,MID,Leicester,0.5,0,0,0,45,1
Wesley Fofana,DEF,Chelsea,0.9,90,1,1,45,1
Lucas Digne,DEF,Aston Villa,1.9,73,1,2,45,1
Joe Aribo,MID,Southampton,0.6,69,1,2,50,1
Fábio Ferreira Vieira,MID,Arsenal,2.3,0,0,0,55,1
Guglielmo Vicario,GK,Spurs,3.6,90,1,2,50,1
Nathan Fraser,FWD,Wolves,0.0,0,0,0,45,1
Christian Walton,GK,Ipswich,1.2,90,1,2,45,1
Matthijs de Ligt,DEF,Man Utd,2.4,9,0,1,50,1
Jack Hinshelwood,MID,Brighton,1.6,90,1,3,50,1
Antoine Semenyo,MID,Bournemouth,2.0,90,1,8,55,1
Will Dennis,GK,Bournemouth,1.0,0,0,0,40,1
Omari Giraud-Hutchinson,MID,Ipswich,1.0,90,1,1,55,1
Dane Scarlett,FWD,Spurs,0.0,0,0,0,45,1
Joe Lumley,GK,Southampton,0.0,0,0,0,40,1
Dwight McNeil,MID,Everton,2.0,90,1,2,55,1
Kim Ji-soo,DEF,Brentford,1.0,0,0,0,40,1
Andy Irving,MID,West Ham,1.6,0,0,0,50,1
Karl Hein,GK,Arsenal,0.0,0,0,0,40,1
Nathaniel Clyne,DEF,Crystal Palace,1.9,0,0,0,45,1
Saša Lukić,MID,Fulham,1.6,90,1,2,50,1
Kevin De Bruyne,MID,Man City,4.2,90,1,3,95,1
Norberto Murara Neto,GK,Bournemouth,2.2,90,1,4,45,1
Tyrell Malacia,DEF,Man Utd,0.0,0,0,0,45,1
Lucas Tolentino Coelho de Lima,MID,West Ham,2.2,73,1,6,60,1
Lewis Dunk,DEF,Brighton,1.9,75,1,6,45,1
Mason Holgate,DEF,Everton,1.0,5,0,1,40,1
Kurt Zouma,DEF,West Ham,1.9,0,0,0,45,1
Sékou Mara,FWD,Southampton,0.4,0,0,0,50,1
Antony Matheus dos Santos,MID,Man Utd,2.2,0,0,0,60,1
Kalvin Phillips,MID,Ipswich,0.6,0,0,0,50,1
