player_name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw
Imari Samuels,u,0.0,0.0,4.0,0,0.0,0.0,23
Killian Cahill,a,,,3.9,0,-0.5,0.0,23
Ruairi McConville,a,,,4.0,0,-0.5,0.0,23
Jacob Slater,a,,,4.0,0,-0.5,0.0,23
Diego Gómez,a,100.0,100.0,5.5,0,-0.2,0.3,23
Fabian Hürzeler,a,,,1.1,0,2.0,2.5,23
Marcus Bettinelli,a,,,3.9,0,0.5,0.0,23
Moisés Caicedo Corozo,a,,,4.9,1,2.0,1.5,23
Cesare Casadei,a,,,4.4,0,0.5,0.0,23
Trevoh Chalobah,a,100.0,100.0,4.4,1,2.7,2.2,23
Issa Diop,a,,,4.4,1,2.5,2.5,20
Ben Chilwell,a,,,4.6,0,0.5,0.0,23
Carney Chukwuemeka,a,100.0,100.0,4.7,0,0.5,0.0,23
William Saliba,a,100.0,100.0,6.5,1,2.5,3.5,35
Levi Colwill,a,100.0,75.0,4.5,0,1.0,0.4,23
Marc Cucurella Saseta,a,100.0,100.0,5.1,1,3.7,3.2,23
David Datro Fofana,u,0.0,0.0,5.4,0,0.0,0.0,23
Deivid Washington de Souza Eugênio,a,,,4.9,0,0.5,0.0,23
Kiernan Dewsbury-Hall,a,100.0,100.0,5.5,0,2.0,1.5,23
Axel Disasi,a,,,4.2,0,0.7,0.2,23
Enzo Fernández,a,100.0,75.0,4.8,2,1.7,0.9,23
Conor Gallagher,u,0.0,0.0,5.9,0,0.0,0.0,23
Alfie Gilchrist,u,0.0,0.0,4.0,0,0.0,0.0,23
Malo Gusto,a,100.0,100.0,4.9,1,1.5,1.0,23
Reece James,a,100.0,100.0,4.8,1,4.0,3.5,23
Roméo Lavia,i,0.0,0.0,4.5,0,0.0,0.0,23
Romelu Lukaku Bolingoli,u,0.0,0.0,6.3,0,0.0,0.0,23
Malang Sarr,u,0.0,0.0,4.5,0,0.0,0.0,23
Christopher Nkunku,a,,,5.7,1,0.7,0.2,23
Cole Palmer,a,100.0,100.0,11.3,2,6.5,6.0,23
Đorđe Petrović,u,0.0,0.0,4.4,0,0.0,0.0,23
Renato Palma Veiga,u,0.0,,4.4,0,0.0,0.0,23
Robert Sánchez,a,,,4.7,2,2.5,2.0,23
Tosin Adarabioyo,a,,,4.2,0,2.5,2.0,23
Wesley Fofana,i,0.0,0.0,4.4,0,0.0,0.0,23
Jadon Sancho,a,100.0,100.0,6.2,2,3.3,2.8,23
Pedro Lomba Neto,a,100.0,100.0,6.2,1,2.0,1.5,23
Caleb Wiley,u,0.0,0.0,4.0,0,0.0,0.0,23
Filip Jørgensen,a,100.0,100.0,4.2,0,0.5,0.0,23
João Félix Sequeira,a,,,5.9,0,1.7,1.2,23
Samuel Rak-Sakyi,a,,,4.5,0,0.5,0.0,23
Tyrique George,a,,,4.5,0,0.5,0.0,23
Josh Acheampong,a,,,4.0,0,1.3,0.8,23
Cheick Doucouré,i,0.0,0.0,4.9,0,0.0,0.0,23
Chris Richards,a,100.0,100.0,4.4,1,3.8,3.8,23
Chadi Riad Dnanou,i,0.0,0.0,4.3,0,0.0,0.0,23
Ismaïla Sarr,a,100.0,100.0,5.7,2,3.2,3.2,23
Franco Umeh-Chibueze,a,100.0,100.0,4.4,0,0.0,0.0,23
Justin Devenny,a,,,4.5,0,0.5,0.5,23
Maxence Lacroix,a,,,4.5,0,4.2,4.2,23
Idrissa Gueye,a,100.0,100.0,4.8,3,7.4,4.2,23
James Garner,a,100.0,75.0,4.9,1,-0.6,0.2,23
Jack Harrison,a,100.0,100.0,5.2,0,-0.6,0.2,23
Mason Holgate,u,0.0,0.0,4.0,0,0.0,0.0,23
Tim Iroegbunam,d,75.0,25.0,4.3,0,-0.8,0.0,23
Michael Keane,a,100.0,100.0,3.9,0,-0.6,0.2,23
Neal Maupay,u,0.0,0.0,4.9,0,0.0,0.0,23
Dwight McNeil,i,0.0,0.0,5.1,0,0.0,0.0,23
Vitalii Mykolenko,a,100.0,100.0,4.4,6,4.6,2.8,23
Iliman Ndiaye,a,100.0,100.0,5.5,8,8.6,4.8,23
Nathan Patterson,a,100.0,100.0,4.4,1,0.6,0.8,23
Jordan Pickford,a,,,5.1,5,5.0,3.0,23
James Tarkowski,a,100.0,100.0,4.8,7,5.0,3.0,23
Youssef Ramalho Chermiti,i,0.0,0.0,4.9,0,0.0,0.0,23
Ashley Young,a,100.0,100.0,4.6,1,1.4,1.2,23
Jesper Lindstrøm,a,,,5.0,2,2.6,1.8,23
Jake O'Brien,a,,,4.5,5,3.0,2.0,23
David Moyes,a,,,0.5,19,1.0,1.0,23
Reiss Nelson,i,0.0,0.0,5.0,0,0.0,0.0,23
Emile Smith Rowe,a,100.0,100.0,5.2,2,3.5,4.0,23
Joachim Andersen,a,100.0,100.0,4.2,2,2.0,2.5,23
Adama Traoré,a,,,4.7,1,1.7,2.2,23
Andreas Hoelgebaum Pereira,a,100.0,100.0,5.0,1,0.3,0.8,23
Calvin Bassey,a,100.0,100.0,4.5,2,2.0,2.5,23
Steven Benda,a,,,3.9,0,-0.5,0.0,23
Tom Cairney,a,100.0,100.0,4.8,1,0.7,1.2,23
Timothy Castagne,a,100.0,100.0,4.2,2,1.7,2.2,23
Issa Diop,a,,,4.4,0,0.0,0.5,23
Luke Harris,u,0.0,0.0,4.5,0,0.0,0.0,23
Alex Iwobi,a,,,5.8,2,4.5,5.0,23
Bernd Leno,a,,,5.0,2,2.3,2.8,23
Saša Lukić,a,100.0,100.0,4.8,2,2.0,2.5,23
Rodrigo Muniz Carvalho,a,100.0,100.0,5.5,1,0.5,1.0,23
Raúl Jiménez,a,,,5.6,2,4.0,4.5,23
Tim Ream,u,0.0,0.0,4.5,0,0.0,0.0,23
Julio Enciso,a,100.0,100.0,5.4,3,1.5,0.0,23
Ali Al-Hamadi,u,0.0,100.0,4.7,0,0.0,-0.8,23
Elkan Baggott,u,0.0,0.0,4.0,0,0.0,0.0,23
Nathan Broadhead,a,100.0,100.0,4.9,1,1.5,0.0,23
Odsonne Edouard,a,100.0,100.0,5.1,0,0.0,0.0,23
Kasey McAteer,a,100.0,100.0,4.7,0,0.2,0.2,23
Wilfred Ndidi,i,0.0,0.0,4.9,0,0.0,0.0,23
Caleb Okoli,a,100.0,100.0,4.0,0,0.2,0.2,23
Ricardo Barbosa Pereira,i,0.0,0.0,4.1,0,0.0,0.0,23
Harry Souttar,u,0.0,0.0,4.0,0,0.0,0.0,23
Julián Álvarez,u,0.0,0.0,7.0,0,0.0,0.0,20
Jakub Stolarczyk,a,100.0,100.0,4.0,2,1.5,1.5,23
Luke Thomas,a,,,3.9,0,0.2,0.2,23
Jamie Vardy,a,100.0,100.0,5.4,9,4.5,4.5,23
Jannik Vestergaard,a,100.0,100.0,3.9,2,1.2,1.2,23
Danny Ward,a,,,3.9,0,0.0,0.0,23
Harry Winks,a,100.0,100.0,4.4,1,1.8,1.8,23
Oliver Skipp,a,,,4.7,1,0.8,0.8,23
Abdul Fatawu,i,0.0,0.0,5.2,0,0.0,0.0,23
Will Alves,a,,,4.4,0,0.0,0.0,23
Ben Nelson,u,0.0,0.0,4.0,0,0.0,0.0,23
Bilal El Khannouss,a,,,4.8,9,3.8,3.8,23
Henry Cartwright,a,,,4.5,0,0.0,0.0,23
