name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Wes Okoduwa,a,,,4.0,0,0.0,-0.5,35,DEF,Wolves,-0.5,0,0,0,40
Andrew Moran,u,0.0,0.0,5.0,0,0.0,0.0,29,MID,Brighton,0.0,0,0,0,50
Carl Rushworth,a,100.0,100.0,3.9,0,0.0,-0.5,29,GK,Brighton,-0.5,0,0,0,39
Viljami Sinisalo,u,0.0,0.0,4.0,0,0.0,0.0,28,GK,Aston Villa,0.0,0,0,0,40
Joachim Kayi-Sanda,a,,,4.0,0,-0.5,-1.5,28,DEF,Southampton,-1.5,0,0,0,40
Georginio Rutter,i,0.0,100.0,5.1,5,0.0,3.0,29,MID,Brighton,4.5,74,1,5,51
Ferdi Kadioglu,i,0.0,0.0,4.4,0,0.0,0.0,29,DEF,Brighton,0.0,0,0,0,44
Kiernan Dewsbury-Hall,a,100.0,100.0,5.5,1,1.0,0.5,29,MID,Chelsea,0.5,14,0,1,55
Valentín Barco,u,0.0,0.0,4.0,0,0.0,0.0,25,DEF,Brighton,0.0,0,0,0,40
Enzo Fernández,a,100.0,100.0,4.7,2,4.5,4.0,29,MID,Chelsea,4.5,90,1,2,47
Reece James,a,100.0,100.0,4.8,2,1.5,1.0,29,DEF,Chelsea,0.8,81,1,2,48
Omari Kellyman,i,0.0,25.0,4.3,0,0.0,0.0,29,MID,Chelsea,0.0,0,0,0,43
Fábio Ferreira Vieira,u,0.0,0.0,5.4,0,0.0,0.0,36,MID,Arsenal,0.0,0,0,0,54
Ian Maatsen,a,100.0,100.0,4.5,1,3.8,3.8,36,DEF,Aston Villa,3.8,1,0,1,45
Sugawara Yukinari,a,100.0,100.0,4.2,1,0.5,0.5,29,DEF,Southampton,0.0,68,1,1,42
Sean Neave,a,,,4.5,0,0.5,1.0,34,FWD,Newcastle,0.0,0,0,0,45
Alphonse Areola,a,100.0,100.0,4.2,2,1.3,1.8,31,GK,West Ham,1.8,90,1,2,42
Filip Marschall,u,0.0,0.0,4.0,0,0.0,0.0,36,GK,Aston Villa,0.0,0,0,0,40
Emiliano Martínez Romero,a,100.0,100.0,5.0,8,5.2,5.2,36,GK,Aston Villa,5.2,90,1,8,50
Rodrigo 'Rodri' Hernandez,i,0.0,0.0,6.2,0,0.0,0.0,31,MID,Man City,0.0,0,0,0,62
Rúben Gato Alves Dias,a,100.0,100.0,5.4,5,4.5,4.5,31,DEF,Man City,4.5,90,1,5,54
John Stones,i,0.0,0.0,5.3,0,0.0,0.0,31,DEF,Man City,0.0,0,0,0,53
Kyle Walker,u,0.0,0.0,5.1,0,0.0,0.0,31,DEF,Man City,0.0,0,0,0,51
Sávio 'Savinho' Moreira de Oliveira,a,100.0,100.0,6.2,0,3.5,3.5,31,MID,Man City,3.5,0,0,0,62
Đorđe Petrović,u,0.0,0.0,4.4,0,0.0,0.0,29,GK,Chelsea,0.0,0,0,0,44
Joseph O'Brien-Whitmarsh,u,0.0,0.0,4.5,0,0.0,0.0,29,MID,Southampton,0.0,0,0,0,45
Kevin Danso,i,0.0,0.0,4.5,0,0.0,0.0,29,DEF,Spurs,0.0,0,0,0,45
Aaron Wan-Bissaka,a,,,4.5,2,2.0,2.0,29,DEF,West Ham,5.8,90,1,2,45
Edson Álvarez Velázquez,a,100.0,100.0,5.0,0,1.0,1.0,29,MID,West Ham,2.0,0,0,0,50
Nico O'Reilly,a,100.0,100.0,4.9,3,2.5,2.5,31,MID,Man City,2.5,73,1,3,49
Tim Ream,u,0.0,0.0,4.5,0,0.0,0.0,24,DEF,Fulham,0.0,0,0,0,45
Marcus Myers-Harness,u,0.0,0.0,4.9,0,0.0,0.0,24,MID,Ipswich,0.0,0,0,0,49
George Hirst,a,100.0,100.0,5.4,1,1.0,1.5,24,FWD,Ipswich,1.5,1,0,1,54
Corrie Ndaba,u,0.0,0.0,4.0,0,0.0,0.0,24,DEF,Ipswich,0.0,0,0,0,40
Mathys Tel,a,,,6.0,3,1.0,1.5,29,MID,Spurs,1.8,76,1,3,60
Vladimír Coufal,a,100.0,75.0,4.1,0,0.0,0.0,29,DEF,West Ham,0.0,0,0,0,41
Aaron Cresswell,a,100.0,100.0,3.9,0,1.0,1.0,29,DEF,West Ham,4.2,0,0,0,39
George Earthy,u,0.0,0.0,4.5,0,0.0,0.0,29,MID,West Ham,0.0,0,0,0,45
Amadou Onana,a,100.0,100.0,4.8,3,2.3,2.3,37,MID,Aston Villa,2.3,87,1,3,48
Marcus Rashford,n,0.0,0.0,6.6,0,0.0,0.0,37,MID,Aston Villa,0.0,0,0,0,66
Robin Olsen,a,100.0,100.0,4.5,0,0.0,0.0,36,GK,Aston Villa,0.0,0,0,0,45
Giovani Lo Celso,u,0.0,0.0,4.9,0,0.0,0.0,33,MID,Spurs,0.0,0,0,0,49
Tom King,a,,,4.0,0,0.5,0.0,28,GK,Wolves,0.0,0,0,0,40
Bastien Meupiyou,a,100.0,100.0,3.9,0,0.5,0.0,28,DEF,Wolves,0.0,0,0,0,39
Marshall Munetsi,a,100.0,,5.0,8,4.7,4.2,28,MID,Wolves,4.2,45,1,8,50
Mateus Mané,a,,,4.5,0,0.5,0.0,28,FWD,Wolves,0.0,0,0,0,45
Harrison Armstrong,u,0.0,0.0,4.4,0,0.0,0.0,27,MID,Everton,0.0,0,0,0,44
John Stones,i,0.0,0.0,5.3,0,0.0,0.0,27,DEF,Man City,0.0,0,0,0,53
Kyle Walker,u,0.0,0.0,5.1,0,0.0,0.0,27,DEF,Man City,0.0,0,0,0,51
Emiliano Buendía Stati,u,0.0,0.0,5.1,0,0.0,0.0,33,MID,Aston Villa,0.0,0,0,0,51
Nasser Djiga,a,,,4.5,0,0.3,0.3,32,DEF,Wolves,0.0,0,0,0,45
Marshall Munetsi,a,100.0,100.0,5.0,5,3.3,3.3,32,MID,Wolves,0.0,90,1,5,50
Jadon Sancho,a,100.0,100.0,6.2,2,3.0,2.5,29,MID,Chelsea,2.2,75,1,2,62
Pedro Lomba Neto,a,100.0,100.0,6.3,1,2.5,2.0,29,MID,Chelsea,5.0,90,1,1,63
Dean Huijsen,a,,,4.5,0,1.7,1.7,28,DEF,Bournemouth,1.7,90,1,0,45
Julián Araujo Zúñiga,d,25.0,0.0,4.3,0,0.1,0.0,28,DEF,Bournemouth,0.0,0,0,0,43
Will Dennis,a,,,3.9,0,0.5,0.5,28,GK,Bournemouth,0.5,0,0,0,40
Archie Harris,a,,,4.0,0,0.5,0.5,28,DEF,Bournemouth,0.5,0,0,0,40
Isaac Hayden,u,0.0,0.0,4.4,0,0.0,0.0,26,MID,Newcastle,0.0,0,0,0,44
Hwang Hee-chan,a,100.0,100.0,6.1,1,0.7,0.2,28,MID,Wolves,0.2,16,0,1,61
Caleb Wiley,u,0.0,0.0,4.0,0,0.0,0.0,29,DEF,Chelsea,0.0,0,0,0,40
Filip Jørgensen,a,100.0,100.0,4.2,0,0.5,0.0,29,GK,Chelsea,2.0,0,0,0,42
João Félix Sequeira,u,0.0,0.0,5.9,0,0.0,0.0,29,MID,Chelsea,0.0,0,0,0,59
Samuel Rak-Sakyi,a,,,4.5,0,0.5,0.0,29,MID,Chelsea,0.0,0,0,0,45
Tyrique George,a,,,4.5,1,1.5,1.0,29,MID,Chelsea,1.5,14,0,1,45
Matty Cash,a,100.0,100.0,4.4,4,0.0,5.4,33,DEF,Aston Villa,10.8,75,1,4,44
Ben Broggio,a,,,4.5,0,0.0,0.0,37,MID,Aston Villa,0.0,0,0,0,45
Ronnie Edwards,u,0.0,0.0,3.9,0,0.0,0.0,35,DEF,Southampton,0.0,0,0,0,39
Nathaniel Phillips,u,0.0,0.0,4.0,0,0.0,0.0,24,DEF,Liverpool,0.0,0,0,0,40
Jarell Quansah,a,100.0,100.0,3.9,0,2.0,1.5,24,DEF,Liverpool,3.0,0,0,0,39
Rhys Williams,u,0.0,0.0,4.0,0,0.0,0.0,24,DEF,Liverpool,0.0,0,0,0,40
Jean-Clair Todibo,d,75.0,0.0,4.2,0,0.0,0.0,24,DEF,West Ham,0.0,0,0,0,42
Tawanda Chirewa,u,0.0,0.0,4.5,0,0.0,0.0,24,MID,Wolves,0.0,0,0,0,45
Leon Chiwome,i,0.0,100.0,4.5,0,0.0,0.0,24,FWD,Wolves,0.0,0,0,0,45
Matt Doherty,a,,,4.3,6,2.8,3.8,24,DEF,Wolves,3.8,90,1,6,43
Tommy Doyle,a,,,4.8,1,-0.2,0.8,24,MID,Wolves,0.8,17,0,1,48
Nathan Fraser,u,0.0,0.0,4.5,0,0.0,0.0,24,FWD,Wolves,0.0,0,0,0,45
Enso González,i,0.0,0.0,4.4,0,0.0,0.0,24,MID,Wolves,0.0,0,0,0,44
Marcus Tavernier,a,100.0,100.0,5.4,4,2.7,3.5,38,MID,Bournemouth,3.5,90,1,4,54
Andrés García,a,,,4.5,0,0.0,0.0,37,DEF,Aston Villa,0.0,0,0,0,45
Josh Dasilva,i,0.0,0.0,4.8,0,0.0,0.0,37,MID,Brentford,0.0,0,0,0,48
Tomiyasu Takehiro,i,0.0,0.0,4.8,0,0.0,0.0,32,DEF,Arsenal,0.0,0,0,0,48
Rico Henry,a,100.0,100.0,4.3,1,0.5,0.5,37,DEF,Brentford,0.5,14,0,1,43
Aaron Hickey,a,100.0,75.0,4.3,0,0.0,0.0,37,DEF,Brentford,0.0,0,0,0,43
Vitaly Janelt,i,0.0,0.0,4.8,0,0.0,0.0,37,MID,Brentford,0.0,0,0,0,48
Myles Lewis-Skelly,a,100.0,100.0,4.5,1,2.0,1.5,36,MID,Arsenal,1.5,90,1,1,45
Alejo Véliz,u,0.0,0.0,5.0,0,0.0,0.0,33,FWD,Spurs,0.0,0,0,0,50
Kristoffer Ajer,a,100.0,100.0,4.4,0,0.0,0.0,23,DEF,Brentford,0.0,0,0,0,44
Ethan Brierley,a,100.0,100.0,4.4,0,0.0,0.0,23,MID,Brentford,0.0,0,0,0,44
Nathan Collins,a,,,4.5,7,3.8,3.8,23,DEF,Brentford,3.2,90,1,7,45
Mikkel Damsgaard,a,100.0,100.0,5.0,7,4.5,4.5,23,MID,Brentford,4.6,90,1,7,50
Facundo Pellistri Rebollo,u,0.0,0.0,5.0,0,0.0,0.0,22,MID,Man Utd,0.0,0,0,0,50
Daniel Jebbison,a,100.0,100.0,4.5,6,2.7,1.7,37,FWD,Bournemouth,1.7,7,0,6,45
Ethan Wheatley,u,0.0,0.0,4.5,0,0.0,0.0,27,FWD,Man Utd,0.0,0,0,0,45
Milos Kerkez,a,100.0,100.0,5.3,1,2.3,1.3,37,DEF,Bournemouth,1.3,82,1,1,53
Justin Kluivert,a,100.0,100.0,5.9,1,2.0,1.0,37,MID,Bournemouth,1.0,45,1,1,60
Josh Dasilva,i,0.0,0.0,4.8,0,0.0,0.0,23,MID,Brentford,0.0,0,0,0,48
Mark Flekken,a,100.0,100.0,4.4,3,3.8,3.8,23,GK,Brentford,3.2,90,1,3,44
Rico Henry,i,0.0,100.0,4.3,0,0.0,0.2,23,DEF,Brentford,0.2,0,0,0,43
Aaron Hickey,i,0.0,0.0,4.3,0,0.0,0.0,23,DEF,Brentford,0.0,0,0,0,43
Vitaly Janelt,a,100.0,100.0,4.9,1,1.8,1.8,23,MID,Brentford,1.8,90,1,1,49
Andrey Nascimento dos Santos,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Chelsea,0.0,0,0,0,45
Ângelo Gabriel Borges Damaceno,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Chelsea,0.0,0,0,0,45
Benoît Badiashile,i,0.0,0.0,4.2,0,0.0,0.0,23,DEF,Chelsea,0.0,0,0,0,43
Lucas Bergström,a,,,3.9,0,0.5,0.0,23,GK,Chelsea,0.0,0,0,0,39
Enzo Barrenechea,u,0.0,0.0,4.9,0,0.0,0.0,36,MID,Aston Villa,0.0,0,0,0,49
Kieran Tierney,a,100.0,100.0,4.3,1,0.8,1.3,28,DEF,Arsenal,1.3,14,0,1,43
Tomiyasu Takehiro,i,0.0,0.0,4.8,0,0.0,0.0,28,DEF,Arsenal,0.0,0,0,0,48
Leandro Trossard,a,100.0,100.0,6.8,1,3.0,3.5,28,MID,Arsenal,3.5,90,1,1,68
Benjamin White,a,100.0,100.0,6.1,0,0.5,1.0,28,DEF,Arsenal,1.0,0,0,0,61
Zach Abbott,a,,,4.0,0,0.5,0.5,34,DEF,Nott'm Forest,0.0,0,0,0,40
Tom King,a,,,4.0,0,0.0,0.0,31,GK,Wolves,0.0,0,0,0,40
Nathan Butler-Oyedeji,a,,,4.5,0,0.0,0.5,28,FWD,Arsenal,0.5,0,0,0,45
Mikel Arteta,a,,,1.5,4,4.8,5.3,28,AM,Arsenal,5.3,0,0,4,15
Garang Kuol,a,,,4.4,0,0.5,-0.5,27,MID,Newcastle,-0.5,0,0,0,44
Issa Diop,a,,,4.4,0,0.3,-0.2,25,DEF,Fulham,-0.2,0,0,0,44
Luke Harris,u,0.0,0.0,4.5,0,0.0,0.0,25,MID,Fulham,0.0,0,0,0,45
Alex Iwobi,a,,,5.7,2,2.0,1.5,25,MID,Fulham,1.5,89,1,2,57
Bernd Leno,a,,,5.0,2,2.0,1.5,25,GK,Fulham,1.5,90,1,2,50
Guido Rodríguez,a,100.0,100.0,4.8,0,-0.2,0.3,25,MID,West Ham,0.3,0,0,0,48
Niclas Füllkrug,i,0.0,0.0,6.7,0,0.0,0.0,25,FWD,West Ham,0.0,0,0,0,67
Jean-Clair Todibo,a,100.0,75.0,4.2,0,-0.5,0.0,25,DEF,West Ham,0.0,0,0,0,42
Kaelan Casey,a,100.0,100.0,4.0,0,-0.5,0.0,25,DEF,West Ham,0.0,0,0,0,40
Jack Porter,a,,,4.0,0,0.0,0.5,28,GK,Arsenal,0.5,0,0,0,40
Saša Lukić,a,100.0,100.0,4.8,2,2.0,1.5,25,MID,Fulham,1.5,82,1,2,48
Kevin Mbabu,u,0.0,0.0,4.0,0,0.0,0.0,25,DEF,Fulham,0.0,0,0,0,40
Rodrigo Muniz Carvalho,a,100.0,100.0,5.5,1,3.3,2.8,25,FWD,Fulham,2.8,14,0,1,55
Raúl Jiménez,a,,,5.6,5,5.0,4.5,25,FWD,Fulham,4.5,75,1,5,56
Myles Lewis-Skelly,a,100.0,100.0,4.5,1,0.5,1.0,28,MID,Arsenal,1.0,32,0,1,45
Mikel Merino,a,100.0,100.0,6.0,2,5.0,5.5,28,MID,Arsenal,5.5,90,1,2,60
Salah-Eddine Oulad M'hand,a,,,4.5,0,0.0,0.5,28,MID,Arsenal,0.5,0,0,0,45
Benicio Baker-Boaitey,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Brighton,0.0,0,0,0,45
Carlos Baleba,a,100.0,100.0,5.0,1,1.3,1.8,23,MID,Brighton,1.8,90,1,1,50
Valentín Barco,u,0.0,0.0,4.0,0,0.0,0.0,23,DEF,Brighton,0.0,0,0,0,40
Amario Cozier-Duberry,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Brighton,0.0,0,0,0,45
Omar Richards,u,0.0,0.0,4.5,0,0.0,0.0,22,DEF,Nott'm Forest,0.0,0,0,0,45
Karl Hein,u,0.0,0.0,4.0,0,0.0,0.0,25,GK,Arsenal,0.0,0,0,0,40
Kenny Tete,i,0.0,0.0,4.4,0,0.0,0.0,25,DEF,Fulham,0.0,0,0,0,44
Carlos Vinícius Alves Morais,a,100.0,100.0,5.0,0,0.0,-0.5,25,FWD,Fulham,-0.5,0,0,0,50
Mahmoud Dahoud,u,0.0,0.0,4.9,0,0.0,0.0,23,MID,Brighton,0.0,0,0,0,49
Lewis Dunk,a,100.0,75.0,4.2,2,0.7,0.9,23,DEF,Brighton,0.9,90,1,2,43
Eberechi Eze,i,0.0,100.0,6.7,2,0.0,4.8,23,MID,Crystal Palace,4.8,90,1,2,67
Marc Guéhi,a,100.0,100.0,4.6,1,6.5,6.5,23,DEF,Crystal Palace,6.5,90,1,1,46
Dean Henderson,a,100.0,100.0,4.5,1,4.0,4.0,23,GK,Crystal Palace,4.0,90,1,1,45
Rob Holding,a,,,4.2,0,0.0,0.0,23,DEF,Crystal Palace,0.0,0,0,0,42
Keane Lewis-Potter,a,,,5.0,2,1.7,1.7,24,MID,Brentford,2.5,90,1,2,50
Ross Barkley,d,50.0,0.0,5.2,0,0.0,0.0,28,MID,Aston Villa,0.0,0,0,0,52
Ben Mee,a,100.0,100.0,4.2,0,0.3,0.3,24,DEF,Brentford,0.2,0,0,0,42
Christian Nørgaard,a,100.0,100.0,4.8,2,1.3,1.3,24,MID,Brentford,3.0,83,1,2,48
Frank Onyeka,u,0.0,0.0,4.9,0,0.0,0.0,24,MID,Brentford,0.0,0,0,0,49
Eddie Howe,a,,,1.5,1,5.0,5.5,24,AM,Newcastle,5.5,0,0,1,15
Julian Eyestone,a,,,4.0,0,1.3,1.3,24,GK,Brentford,1.3,0,0,0,40
Benicio Baker-Boaitey,u,0.0,0.0,4.5,0,0.0,0.0,24,MID,Brighton,0.0,0,0,0,45
Carlos Baleba,a,100.0,100.0,5.0,0,0.7,0.7,24,MID,Brighton,0.7,0,0,0,50
Valentín Barco,u,0.0,0.0,4.0,0,0.0,0.0,24,DEF,Brighton,0.0,0,0,0,40
Danny Welbeck,a,100.0,100.0,5.5,1,1.0,1.0,24,FWD,Brighton,1.0,72,1,1,55
Mats Wieffer,d,50.0,0.0,4.7,0,-0.2,0.0,24,MID,Brighton,0.0,0,0,0,47
Brajan Gruda,a,100.0,100.0,5.4,0,-0.3,-0.3,24,MID,Brighton,-0.3,0,0,0,54
Jayce Fitzgerald,a,,,4.5,0,-0.5,0.0,29,MID,Man Utd,0.0,0,0,0,45
Bruno Borges Fernandes,a,100.0,100.0,8.3,1,4.0,4.0,24,MID,Man Utd,4.0,90,1,1,83
Altay Bayindir,d,25.0,,4.3,0,0.0,0.0,24,GK,Man Utd,0.0,0,0,0,43
Carlos Henrique Casimiro,a,100.0,100.0,4.7,0,0.0,0.0,24,MID,Man Utd,0.0,0,0,0,47
Diogo Dalot Teixeira,a,100.0,100.0,5.0,1,2.2,2.2,24,DEF,Man Utd,2.2,90,1,1,50
Christian Eriksen,a,100.0,100.0,5.2,1,1.2,1.2,24,MID,Man Utd,1.2,3,0,1,52
Jonny Evans,i,0.0,0.0,4.4,0,0.0,0.0,24,DEF,Man Utd,0.0,0,0,0,44
Hannibal Mejbri,u,0.0,0.0,4.5,0,0.0,0.0,24,MID,Man Utd,0.0,0,0,0,45
Wes Okoduwa,a,,,4.0,0,0.0,0.0,31,DEF,Wolves,0.0,0,0,0,40
Emmanuel Agbadou,a,100.0,100.0,4.0,2,3.3,3.3,31,DEF,Wolves,3.3,90,1,2,40
Vítor Manuel de Oliveira Lopes Pereira,a,,,0.8,8,8.3,8.3,31,AM,Wolves,8.3,0,0,8,8
Nasser Djiga,a,,,4.5,1,0.7,0.7,31,DEF,Wolves,0.7,1,0,1,45
Marshall Munetsi,a,100.0,100.0,5.0,2,2.7,2.7,31,MID,Wolves,2.7,90,1,2,50
Mateus Mané,a,,,4.5,0,0.0,0.0,31,FWD,Wolves,0.0,0,0,0,45
Francisco Evanilson de Lima Barbosa,a,100.0,100.0,5.7,2,5.5,5.5,29,FWD,Bournemouth,3.3,90,1,2,57
Max Kinsey,a,,,4.0,0,0.5,0.5,29,DEF,Bournemouth,0.5,0,0,0,40
Eric da Silva Moreira,a,,,4.3,0,0.5,0.5,29,MID,Nott'm Forest,0.5,0,0,0,44
Danilo dos Santos de Oliveira,a,100.0,100.0,4.7,1,1.0,1.0,29,MID,Nott'm Forest,1.0,1,0,1,47
Nicolás Domínguez,a,100.0,100.0,4.8,2,3.0,3.0,29,MID,Nott'm Forest,2.7,66,1,2,48
Callum Hudson-Odoi,a,100.0,100.0,5.3,3,7.0,7.0,29,MID,Nott'm Forest,6.5,80,1,3,52
Wayne Hennessey,a,,,4.0,0,0.5,0.5,24,GK,Nott'm Forest,0.5,0,0,0,40
Nikola Milenković,a,,,4.9,11,9.0,9.0,29,DEF,Nott'm Forest,7.3,90,1,11,49
Gabriel Fernando de Jesus,i,0.0,0.0,6.5,0,0.0,0.0,31,FWD,Arsenal,0.0,0,0,0,65
Samuel Amissah,a,,,4.0,0,-0.5,-0.5,24,DEF,Fulham,-0.5,0,0,0,40
Sergio Reguilón,a,,,4.2,0,0.0,0.0,24,DEF,Spurs,0.0,0,0,0,42
Manor Solomon,u,0.0,0.0,5.4,0,0.0,0.0,24,MID,Spurs,0.0,0,0,0,54
Son Heung-min,a,100.0,100.0,9.8,10,5.5,5.5,24,MID,Spurs,5.5,90,1,10,98
Guglielmo Vicario,a,100.0,0.0,4.8,0,0.0,0.0,24,GK,Spurs,0.0,0,0,0,48
Timo Werner,d,50.0,0.0,6.2,0,0.0,0.0,24,MID,Spurs,0.0,0,0,0,62
Harvey Davies,a,,,4.0,0,1.5,0.5,27,GK,Liverpool,0.5,0,0,0,40
Taylor Harwood-Bellis,a,100.0,75.0,4.0,1,-1.2,-0.5,27,DEF,Southampton,-0.5,45,0,1,40
Kamaldeen Sulemana,a,100.0,100.0,5.0,2,2.8,3.3,27,MID,Southampton,3.3,90,1,2,50
Damola Ajayi,a,,,4.5,0,0.0,0.0,24,MID,Spurs,0.0,0,0,0,45
Justin Kluivert,a,100.0,100.0,6.2,5,6.0,6.0,28,MID,Bournemouth,6.0,90,1,5,61
Chris Mepham,u,0.0,0.0,4.4,0,0.0,0.0,28,DEF,Bournemouth,0.0,0,0,0,44
Dango Ouattara,a,100.0,100.0,5.1,1,3.5,3.5,28,MID,Bournemouth,3.5,19,0,1,52
Alex Paulsen,u,0.0,0.0,4.0,0,0.0,0.0,28,GK,Bournemouth,0.0,0,0,0,40
Philip Billing,u,0.0,0.0,4.8,0,0.0,0.0,28,MID,Bournemouth,0.0,0,0,0,48
Alex Scott,a,100.0,100.0,4.7,1,1.5,1.5,28,MID,Bournemouth,1.5,19,0,1,47
Antoine Semenyo,a,100.0,100.0,5.7,1,2.5,2.5,28,MID,Bournemouth,2.5,89,1,1,57
Marcos Senesi,d,25.0,0.0,4.6,0,0.1,0.0,28,DEF,Bournemouth,0.0,0,0,0,46
Tomiyasu Takehiro,i,0.0,0.0,4.8,0,0.0,0.0,31,DEF,Arsenal,0.0,0,0,0,48
Nathaniel Clyne,a,,,4.3,0,0.5,0.5,23,DEF,Crystal Palace,0.5,0,0,0,43
Will Hughes,a,100.0,100.0,4.9,2,2.0,2.0,23,MID,Crystal Palace,2.0,82,1,2,49
Daichi Kamada,a,100.0,100.0,5.1,1,1.5,1.5,23,MID,Crystal Palace,1.5,6,0,1,51
Jefferson Lerma Solís,a,100.0,75.0,4.8,2,1.2,0.9,23,MID,Crystal Palace,0.9,90,1,2,48
Ezra Mayers,a,,,4.0,0,0.0,0.0,22,DEF,West Ham,0.0,0,0,0,40
Donyell Malen,a,,,5.5,1,0.4,0.7,24,MID,Aston Villa,0.7,45,0,1,55
Andrés García,a,,,4.5,1,0.0,0.5,24,DEF,Aston Villa,0.5,45,1,1,45
Jean-Philippe Mateta,a,,,7.4,2,7.8,7.8,23,FWD,Crystal Palace,7.8,90,1,2,74
Matheus França de Oliveira,a,100.0,0.0,4.4,0,0.0,0.0,23,MID,Crystal Palace,0.0,0,0,0,44
Ben Johnson,a,100.0,100.0,3.9,1,0.7,-0.8,23,DEF,Ipswich,-0.8,61,0,1,39
Freddie Ladapo,u,0.0,0.0,4.5,0,0.0,0.0,23,FWD,Ipswich,0.0,0,0,0,45
Massimo Luongo,a,100.0,100.0,4.4,0,0.7,-0.8,23,MID,Ipswich,-0.8,0,0,0,44
Sam Morsy,a,100.0,100.0,4.9,2,2.0,0.5,23,MID,Ipswich,0.5,90,1,2,49
Mark O’Mahony,u,0.0,0.0,4.5,0,0.0,0.0,29,FWD,Brighton,0.0,0,0,0,45
Odeluga Offiah,u,0.0,0.0,4.0,0,0.0,0.0,29,DEF,Brighton,0.0,0,0,0,40
Cameron Peupion,u,0.0,0.0,4.4,0,0.0,0.0,29,MID,Brighton,0.0,0,0,0,44
Unai Emery,a,,,0.8,0,3.0,2.0,24,AM,Aston Villa,2.0,0,0,0,8
Max Aarons,u,0.0,0.0,4.3,0,0.0,0.0,24,DEF,Bournemouth,0.0,0,0,0,43
Kyle Walker-Peters,a,100.0,100.0,4.3,1,0.5,0.5,29,DEF,Southampton,0.0,90,1,1,43
Tyler Adams,a,100.0,100.0,4.9,2,6.3,4.8,24,MID,Bournemouth,4.0,90,1,2,49
Harry Clarke,u,0.0,100.0,4.0,0,0.0,0.5,24,DEF,Ipswich,0.5,0,0,0,40
Jacob Greaves,a,100.0,100.0,3.9,1,2.0,2.5,24,DEF,Ipswich,2.5,90,1,1,39
Tyrick Mitchell,a,,,4.8,1,3.8,3.8,23,DEF,Crystal Palace,3.8,90,1,1,48
João Victor Gomes da Silva,a,100.0,100.0,4.9,4,1.9,1.9,22,MID,Wolves,0.0,90,1,4,49
José Malheiro de Sá,a,100.0,100.0,4.3,2,3.1,3.1,22,GK,Wolves,0.0,90,1,2,43
Saša Kalajdžić,i,0.0,0.0,4.8,0,0.0,0.0,22,FWD,Wolves,0.0,0,0,0,48
Tom King,a,,,4.0,0,-0.5,-0.5,22,GK,Wolves,0.0,0,0,0,40
Daniel Muñoz,a,100.0,100.0,4.8,4,4.5,4.5,23,DEF,Crystal Palace,4.5,90,1,4,48
David Ozoh,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Crystal Palace,0.0,0,0,0,45
Jesurun Rak-Sakyi,u,0.0,0.0,4.5,0,0.0,0.0,23,MID,Crystal Palace,0.0,0,0,0,45
Jeffrey Schlupp,a,,,4.6,0,0.2,0.2,23,MID,Crystal Palace,0.2,0,0,0,46
Joel Ward,i,0.0,0.0,4.3,0,0.0,0.0,23,DEF,Crystal Palace,0.0,0,0,0,43
Adam Wharton,a,100.0,0.0,4.7,0,0.0,0.0,23,MID,Crystal Palace,0.0,0,0,0,47
Matt Turner,a,100.0,100.0,3.9,0,0.0,0.0,23,GK,Crystal Palace,0.0,0,0,0,39
Aaron Hickey,i,0.0,0.0,4.3,0,0.0,0.0,28,DEF,Brentford,0.0,0,0,0,43
Jason Steele,i,0.0,0.0,4.1,0,0.0,0.0,29,GK,Brighton,0.0,0,0,0,41
Deniz Undav,u,0.0,0.0,5.5,0,0.0,0.0,29,FWD,Brighton,0.0,0,0,0,55
David Brooks,a,100.0,100.0,4.9,2,3.7,2.2,24,MID,Bournemouth,1.7,65,1,2,49
Ryan Christie,a,100.0,100.0,4.9,1,2.7,1.2,24,MID,Bournemouth,1.7,79,1,1,49
James Hill,i,0.0,0.0,3.9,0,0.0,0.0,24,DEF,Bournemouth,0.0,0,0,0,39
Daniel Jebbison,a,100.0,100.0,4.5,1,1.7,0.2,24,FWD,Bournemouth,0.3,10,0,1,45
Milos Kerkez,a,100.0,100.0,5.0,1,5.7,4.2,24,DEF,Bournemouth,3.3,90,1,1,49
Justin Kluivert,a,100.0,100.0,5.9,2,13.3,11.8,24,MID,Bournemouth,10.7,90,1,2,58
Dango Ouattara,a,100.0,100.0,5.1,2,10.0,8.5,24,MID,Bournemouth,6.7,90,1,2,50
Scott Carson,a,,,3.9,0,-0.5,0.0,25,GK,Man City,0.0,0,0,0,39
Nathan Wood-Gordon,a,100.0,100.0,4.0,0,-0.5,-0.5,29,DEF,Southampton,-0.5,0,0,0,40
Oliver Glasner,a,,,0.8,1,1.6,1.6,23,AM,Crystal Palace,1.6,0,0,1,8
Armando Broja,i,0.0,0.0,5.4,0,0.0,0.0,23,FWD,Everton,0.0,0,0,0,54
