name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Kalvin Phillips,a,100.0,100.0,4.8,1,-0.3,0.2,17,MID,Ipswich,0.2,28,0,1,48
Arijanet Muric,a,100.0,100.0,4.4,1,2.1,2.6,17,GK,Ipswich,2.7,90,1,1,44
Conor Townsend,a,,,4.0,0,-0.5,0.0,17,DEF,Ipswich,0.0,0,0,0,40
Sam Szmodics,a,,,5.8,2,0.7,1.2,17,MID,Ipswich,1.3,77,1,2,58
Jens Cajuste,a,100.0,100.0,4.5,2,1.1,1.6,17,MID,Ipswich,1.7,61,1,2,45
Dara O'Shea,a,100.0,100.0,4.1,0,0.5,1.0,17,DEF,Ipswich,1.2,90,1,0,40
Jack Clarke,a,,,5.5,0,1.1,1.6,17,MID,Ipswich,1.5,0,0,0,55
Chiedozie Ogbene,i,0.0,0.0,4.9,0,0.0,0.0,17,MID,Ipswich,0.0,0,0,0,49
Facundo Buonanotte,a,100.0,100.0,4.9,1,1.6,2.6,17,MID,Leicester,2.2,6,0,1,50
Kaden Rodney,a,,,4.5,0,0.0,-1.0,15,MID,Crystal Palace,-1.0,0,0,0,45
Jordan Ayew,a,100.0,100.0,5.2,2,0.4,1.4,17,MID,Leicester,2.3,83,1,2,52
Odsonne Edouard,a,100.0,100.0,5.1,0,-1.0,0.0,17,FWD,Leicester,0.0,0,0,0,51
Boubakary Soumaré,a,100.0,100.0,4.4,1,0.0,1.0,17,MID,Leicester,1.0,90,1,1,44
Tom Cannon,u,0.0,0.0,4.5,0,0.0,0.0,17,FWD,Leicester,0.0,0,0,0,45
Hamza Choudhury,a,100.0,100.0,4.3,1,-0.6,0.4,17,MID,Leicester,0.3,37,0,1,43
Conor Coady,a,100.0,100.0,4.0,1,-0.2,0.8,17,DEF,Leicester,0.7,90,1,1,40
Patson Daka,a,100.0,100.0,4.8,0,1.0,2.0,17,FWD,Leicester,1.8,0,0,0,48
Bobby De Cordova-Reid,a,100.0,100.0,5.2,1,2.0,3.0,17,MID,Leicester,3.2,36,0,1,52
Wout Faes,a,,,4.0,1,-0.4,0.6,17,DEF,Leicester,0.5,45,0,1,41
Michael Golding,a,,,4.4,0,-1.0,0.0,17,MID,Leicester,0.0,0,0,0,44
Mads Hermansen,d,75.0,75.0,4.5,0,0.5,1.2,17,GK,Leicester,1.3,0,0,0,45
Daniel Iversen,a,,,3.9,0,-1.0,0.0,17,GK,Leicester,0.0,0,0,0,39
James Justin,a,,,4.3,0,-0.6,0.4,17,DEF,Leicester,0.5,52,1,0,44
Victor Kristiansen,a,100.0,100.0,4.5,1,0.4,1.4,17,DEF,Leicester,1.3,90,1,1,45
Wanya Marçal-Madivádua,u,0.0,0.0,4.5,0,0.0,0.0,17,MID,Leicester,0.0,0,0,0,45
Stephy Mavididi,a,,,5.1,2,0.2,1.2,17,MID,Leicester,1.2,90,1,2,52
Kasey McAteer,a,,,4.7,0,1.0,2.0,17,MID,Leicester,2.0,0,0,0,47
Wilfred Ndidi,i,0.0,0.0,4.9,0,0.0,0.0,17,MID,Leicester,0.0,0,0,0,50
Caleb Okoli,a,100.0,100.0,4.0,0,-1.0,0.0,17,DEF,Leicester,0.2,0,0,0,40
Ricardo Barbosa Pereira,i,0.0,0.0,4.1,0,0.0,0.0,17,DEF,Leicester,0.0,0,0,0,41
